event_id,model_kind,status,reason,hazard_basis,crps_rank_within_storm,delta_crps_vs_baseline_bplus,scored,counties,train_rows,train_events,crps,crps_climatology,crpss,pit_ks,p90_coverage,observed_mean_outage_fraction,predicted_mean_outage_fraction,mean_bias_outage_fraction,mae_outage_fraction,rmse_outage_fraction,replay_basis,artifact_id
MATTHEW_2016,baseline_a,scored,,analysed_hazard_impact_model_only,3.0,0.012679839494484313,True,303,45437,1542,0.13834670891708933,0.1969936706236752,0.29770987829665596,0.17499484323432346,0.7392739273927392,0.24373422935043154,0.14726809608215902,-0.09646613326827247,0.17457808120849339,0.2886194761369677,event_exclusion,hindcast-baseline_a-MATTHEW_2016-369dc24a70
HARVEY_2017,baseline_a,scored,,analysed_hazard_impact_model_only,1.0,-0.001965936910689872,True,66,45674,1542,0.08447627284757048,0.07729317195424125,-0.09293318816805374,0.07753314393939394,0.8636363636363636,0.09676800785877519,0.0711917404892328,-0.025576267369542403,0.11347639592138431,0.2210113863190824,event_exclusion,hindcast-baseline_a-HARVEY_2017-43d22488ed
IRMA_2017,baseline_a,scored,,analysed_hazard_impact_model_only,2.0,-0.009721916175920109,True,235,45505,1542,0.30737294116011094,0.3527245034748443,0.12857502631077555,0.478623670212766,0.4340425531914894,0.42764046570847797,0.11825814268939724,-0.3093823230190807,0.3457969657367332,0.46446329216263177,event_exclusion,hindcast-baseline_a-IRMA_2017-c6e553911c
FLORENCE_2018,baseline_a,scored,,analysed_hazard_impact_model_only,2.0,0.016482385056579535,True,89,45651,1542,0.20514309712963724,0.3272973638380622,0.3732210527942521,0.3102176966292135,0.6067415730337079,0.39274857545833186,0.18856548833948988,-0.2041830871188419,0.245128708662895,0.37876985655207657,event_exclusion,hindcast-baseline_a-FLORENCE_2018-3a6bf38c1a
MICHAEL_2018,baseline_a,scored,,analysed_hazard_impact_model_only,2.0,0.009411754394188426,True,318,45422,1542,0.1776440267925252,0.22910726780493915,0.22462509158037502,0.24619202044025157,0.6918238993710691,0.2876717883999599,0.13433364577017354,-0.15333814262978634,0.21057239324308086,0.33825159015693135,event_exclusion,hindcast-baseline_a-MICHAEL_2018-50875f9d47
ISAIAS_2020,baseline_a,scored,,analysed_hazard_impact_model_only,1.0,-0.01631338469027588,True,182,45558,1542,0.18236704326719955,0.21296434805194306,0.1436733662917169,0.34572458791208793,0.5989010989010989,0.2729168572629893,0.1348656225852917,-0.13805123467769762,0.21880694797197067,0.31670512099807896,event_exclusion,hindcast-baseline_a-ISAIAS_2020-1d6943a0cc
LAURA_2020,baseline_a,scored,,analysed_hazard_impact_model_only,1.0,-0.03534283660075099,True,139,45601,1542,0.16116949906462713,0.23238011169220973,0.306440220331342,0.26677720323741005,0.6618705035971223,0.2872508344207807,0.13752360129619223,-0.14972723312458847,0.19703395640316318,0.30881825391222417,event_exclusion,hindcast-baseline_a-LAURA_2020-00b9cb5f12
IDA_2021,baseline_a,scored,,analysed_hazard_impact_model_only,1.0,-0.02872065340872411,True,156,45584,1542,0.09310824156458004,0.16485969564790842,0.43522738411799733,0.2403846153846154,0.7692307692307693,0.20762733547140977,0.12976721361783874,-0.07786012185357104,0.11935479095822991,0.20271687218729073,event_exclusion,hindcast-baseline_a-IDA_2021-b7beaae005
IAN_2022,baseline_a,scored,,analysed_hazard_impact_model_only,2.0,0.014743734061147262,True,197,45543,1542,0.1282625361642277,0.19024236437846326,0.32579403865552514,0.2575150697969543,0.7918781725888325,0.24189253370343666,0.14216003070910932,-0.09973250299432732,0.15263576929439304,0.27563690319872286,event_exclusion,hindcast-baseline_a-IAN_2022-adce892121
IDALIA_2023,baseline_a,scored,,analysed_hazard_impact_model_only,3.0,0.023447186454121638,True,153,45587,1542,0.15199433000084248,0.19116806971821798,0.20491779707310775,0.23358353758169936,0.7058823529411765,0.2419959151002582,0.11455467616556034,-0.1274412389346978,0.1812235131274479,0.2943258443870446,event_exclusion,hindcast-baseline_a-IDALIA_2023-771d68261f
MATTHEW_2016,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,0.009271366951945442,True,303,45437,1542,0.13493823637455046,0.1969936706236752,0.31501232528263146,0.1495977722772277,0.768976897689769,0.24373422935043154,0.16195197695289323,-0.08178225239753831,0.17437080822565335,0.2831239762391576,event_exclusion,hindcast-baseline_b-MATTHEW_2016-369dc24a70
HARVEY_2017,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,-0.0016224981224766954,True,66,45674,1542,0.08481971163578365,0.07729317195424125,-0.09737651452573637,0.09434185606060608,0.8636363636363636,0.09676800785877519,0.0797016779008044,-0.017066329957970777,0.11818010884374326,0.2217159196656681,event_exclusion,hindcast-baseline_b-HARVEY_2017-43d22488ed
IRMA_2017,baseline_b,scored,,analysed_hazard_impact_model_only,1.0,-0.019013426714017345,True,235,45505,1542,0.2980814306220137,0.3527245034748443,0.1549171444413916,0.461186835106383,0.4425531914893617,0.42764046570847797,0.1308392126473409,-0.2968012530611371,0.34049907200030316,0.4568278094763571,event_exclusion,hindcast-baseline_b-IRMA_2017-c6e553911c
FLORENCE_2018,baseline_b,scored,,analysed_hazard_impact_model_only,3.0,0.02661228332000165,True,89,45651,1542,0.21527299539305936,0.3272973638380622,0.3422709157548529,0.3268521769662921,0.5955056179775281,0.39274857545833186,0.17206505495357993,-0.2206835205047519,0.25337647062986585,0.39084556738347553,event_exclusion,hindcast-baseline_b-FLORENCE_2018-3a6bf38c1a
MICHAEL_2018,baseline_b,scored,,analysed_hazard_impact_model_only,3.0,0.01397999539097955,True,318,45422,1542,0.18221226778931632,0.22910726780493915,0.20468578087862765,0.272970715408805,0.6572327044025157,0.2876717883999599,0.12170294245461342,-0.16596884594534647,0.21344676104281754,0.34458248761862564,event_exclusion,hindcast-baseline_b-MICHAEL_2018-50875f9d47
ISAIAS_2020,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,-0.010790380766080132,True,182,45558,1542,0.1878900471913953,0.21296434805194306,0.11773942958016625,0.36856112637362637,0.5879120879120879,0.2729168572629893,0.12228159593848219,-0.15063526132450705,0.22168893815987337,0.32100769447013716,event_exclusion,hindcast-baseline_b-ISAIAS_2020-1d6943a0cc
LAURA_2020,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,-0.02851065275814965,True,139,45601,1542,0.16800168290722847,0.23238011169220973,0.277039322841239,0.2852124550359712,0.6546762589928058,0.2872508344207807,0.1253772769423186,-0.16187355747846213,0.20072643404969376,0.31814018816631195,event_exclusion,hindcast-baseline_b-LAURA_2020-00b9cb5f12
IDA_2021,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,-0.027844605868587113,True,156,45584,1542,0.09398428910471704,0.16485969564790842,0.4299134865234757,0.23928285256410256,0.7692307692307693,0.20762733547140977,0.12754338659959863,-0.08008394887181118,0.11946531693458565,0.20400403436520295,event_exclusion,hindcast-baseline_b-IDA_2021-b7beaae005
IAN_2022,baseline_b,scored,,analysed_hazard_impact_model_only,3.0,0.01612324272983226,True,197,45543,1542,0.1296420448329127,0.19024236437846326,0.31854271651604293,0.2555718591370558,0.7918781725888325,0.24189253370343666,0.13956471270922946,-0.1023278209942072,0.15426294873062865,0.27723176435007596,event_exclusion,hindcast-baseline_b-IAN_2022-adce892121
IDALIA_2023,baseline_b,scored,,analysed_hazard_impact_model_only,2.0,0.022237241309529948,True,153,45587,1542,0.15078438485625079,0.19116806971821798,0.2112470190314356,0.2547743055555556,0.7058823529411765,0.2419959151002582,0.11222629010008803,-0.12976962500017017,0.1802240651468501,0.29476717007932923,event_exclusion,hindcast-baseline_b-IDALIA_2023-771d68261f
MATTHEW_2016,baseline_bplus,scored,,analysed_hazard_impact_model_only,1.0,0.0,True,303,45437,1542,0.12566686942260502,0.1969936706236752,0.3620766138082101,0.4520291872937294,0.5445544554455446,0.24373422935043154,0.12942729134161327,-0.11430693800881822,0.15049551886056006,0.25312050883787024,event_exclusion,hindcast-baseline_bplus-MATTHEW_2016-369dc24a70
HARVEY_2017,baseline_bplus,scored,,analysed_hazard_impact_model_only,3.0,0.0,True,66,45674,1542,0.08644220975826035,0.07729317195424125,-0.11836799516308472,0.4191524621212121,0.6515151515151515,0.09676800785877519,0.05723943753396065,-0.03952857032481455,0.10299741842180166,0.2132064364832282,event_exclusion,hindcast-baseline_bplus-HARVEY_2017-43d22488ed
IRMA_2017,baseline_bplus,scored,,analysed_hazard_impact_model_only,3.0,0.0,True,235,45505,1542,0.31709485733603104,0.3527245034748443,0.10101267643106715,0.6015458776595745,0.3276595744680851,0.42764046570847797,0.10954911812154296,-0.31809134758693497,0.3456665852602882,0.4692328453304088,event_exclusion,hindcast-baseline_bplus-IRMA_2017-c6e553911c
FLORENCE_2018,baseline_bplus,scored,,analysed_hazard_impact_model_only,1.0,0.0,True,89,45651,1542,0.1886607120730577,0.3272973638380622,0.4235801050741066,0.569215238764045,0.5168539325842697,0.39274857545833186,0.21332741951771286,-0.17942115594061897,0.22135190635906038,0.3451515789810777,event_exclusion,hindcast-baseline_bplus-FLORENCE_2018-3a6bf38c1a
MICHAEL_2018,baseline_bplus,scored,,analysed_hazard_impact_model_only,1.0,0.0,True,318,45422,1542,0.16823227239833677,0.22910726780493915,0.26570521306391326,0.5061419025157232,0.49056603773584906,0.2876717883999599,0.13537180266154042,-0.1522999857384195,0.19238434412008942,0.3056199811022919,event_exclusion,hindcast-baseline_bplus-MICHAEL_2018-50875f9d47
