model_kind,hazard_basis,requested_storms,scored_storms,missing_storms,skipped_storms,complete,primary_crps,primary_crps_climatology,primary_crpss,primary_crps_ci_lo,primary_crps_ci_hi,mean_storm_bias_outage_fraction,mean_storm_mae_outage_fraction,mean_storm_rmse_outage_fraction,pooled_county_crps,pooled_pit_ks,pooled_p90_coverage
baseline_a,analysed_hazard_impact_model_only,10,10,0,0,True,0.16298846969084102,0.21750305671845044,0.2506382569978155,0.1294933962900167,0.2055004817834529,-0.1381758284990406,0.19586075225277916,0.30893185960110514,0.17035732545711327,0.23429423966267682,0.675734494015234
baseline_b,analysed_hazard_impact_model_only,10,10,0,0,True,0.16456270907072282,0.21750305671845044,0.2434004765103459,0.13147797582032508,0.20534849136910302,-0.1406992415535902,0.19762409237640147,0.3112246611814341,0.1710857376827929,0.23577342899891185,0.6735582154515778
baseline_bplus,analysed_hazard_impact_model_only,10,10,0,0,True,0.16451845252342498,0.21750305671845044,0.24360395202910667,0.13039585919844693,0.20944298123403077,-0.15565805234159408,0.18751826207771005,0.2945243413910905,0.17034792268159615,0.5165941240478782,0.4624591947769314
